precision,recall,fbeta,feature,value
0.8082191780821918,0.7151515151515152,0.7588424437299036,workclass,Local-gov
0.7831632653061225,0.6055226824457594,0.6829810901001112,workclass,Private
0.7087912087912088,0.6201923076923077,0.6615384615384616,workclass,Self-emp-not-inc
0.7669902912621359,0.8926553672316384,0.8250652741514359,workclass,Self-emp-inc
0.8709677419354839,0.40298507462686567,0.5510204081632654,workclass,?
0.7474747474747475,0.7184466019417476,0.7326732673267327,workclass,Federal-gov
0.7586206896551724,0.6804123711340206,0.717391304347826,workclass,State-gov
1.0,1.0,1.0,workclass,Never-worked
1.0,1.0,1.0,workclass,Without-pay
1.0,0.16666666666666666,0.2857142857142857,education,10th
1.0,0.23529411764705882,0.38095238095238093,education,11th
0.6470588235294118,0.6285714285714286,0.6376811594202899,education,Assoc-acdm
0.6894409937888198,0.5467980295566502,0.6098901098901098,education,Some-college
0.8010204081632653,0.3060428849902534,0.4428772919605077,education,HS-grad
0.7702312138728323,0.8015037593984963,0.7855563743551953,education,Bachelors
0.5,0.3333333333333333,0.4,education,5th-6th
0.8266666666666667,0.8641114982578397,0.8449744463373083,education,Masters
0.0,0.0,0.0,education,9th
0.7654320987654321,0.5794392523364486,0.6595744680851063,education,Assoc-voc
1.0,0.5,0.6666666666666666,education,12th
0.6666666666666666,0.14285714285714285,0.23529411764705882,education,7th-8th
0.8666666666666667,0.9381443298969072,0.900990099009901,education,Doctorate
0.8344827586206897,0.9453125,0.8864468864468863,education,Prof-school
1.0,1.0,1.0,education,Preschool
1.0,0.0,0.0,education,1st-4th
0.7671156004489338,0.6869346733668342,0.7248144220572642,marital-status,Married-civ-spouse
0.8524590163934426,0.3586206896551724,0.5048543689320388,marital-status,Never-married
0.7777777777777778,0.30434782608695654,0.43750000000000006,marital-status,Widowed
0.9032258064516129,0.3835616438356164,0.5384615384615385,marital-status,Divorced
0.8888888888888888,0.3333333333333333,0.48484848484848486,marital-status,Separated
0.6666666666666666,0.2857142857142857,0.4,marital-status,Married-spouse-absent
1.0,0.3333333333333333,0.5,marital-status,Married-AF-spouse
0.6861313868613139,0.32413793103448274,0.44028103044496486,occupation,Craft-repair
0.7410071942446043,0.6959459459459459,0.7177700348432056,occupation,Sales
0.875,0.4,0.5490196078431373,occupation,Farming-fishing
0.8076923076923077,0.25,0.38181818181818183,occupation,Machine-op-inspct
0.6428571428571429,0.24324324324324326,0.35294117647058826,occupation,Other-service
0.8058608058608059,0.8103130755064457,0.8080808080808082,occupation,Prof-specialty
0.6590909090909091,0.3258426966292135,0.4360902255639098,occupation,Transport-moving
0.7731958762886598,0.5208333333333334,0.6224066390041495,occupation,Adm-clerical
0.7851239669421488,0.811965811965812,0.7983193277310925,occupation,Exec-managerial
0.5,0.13043478260869565,0.20689655172413793,occupation,Handlers-cleaners
0.8709677419354839,0.40298507462686567,0.5510204081632654,occupation,?
0.7560975609756098,0.775,0.7654320987654322,occupation,Tech-support
0.8444444444444444,0.5846153846153846,0.6909090909090909,occupation,Protective-serv
1.0,1.0,1.0,occupation,Priv-house-serv
1.0,1.0,1.0,occupation,Armed-Forces
0.7678347934918648,0.6920473773265652,0.7279738949866508,relationship,Husband
0.6666666666666666,0.36363636363636365,0.4705882352941177,relationship,Own-child
0.8583333333333333,0.3916349809885932,0.5378590078328982,relationship,Not-in-family
0.9411764705882353,0.24615384615384617,0.3902439024390244,relationship,Unmarried
0.5,0.4444444444444444,0.47058823529411764,relationship,Other-relative
0.7848837209302325,0.6553398058252428,0.7142857142857143,relationship,Wife
0.7791549295774648,0.6435551419264774,0.7048929663608563,race,White
0.7307692307692307,0.5643564356435643,0.6368715083798882,race,Black
0.7301587301587301,0.6764705882352942,0.7022900763358779,race,Asian-Pac-Islander
0.6,0.25,0.35294117647058826,race,Amer-Indian-Eskimo
0.6666666666666666,0.5,0.5714285714285715,race,Other
0.7685998828353837,0.656,0.7078500134879958,sex,Male
0.8227272727272728,0.5355029585798816,0.6487455197132617,sex,Female
0.7785915492957747,0.6433891992551211,0.7045628345653836,native-country,United-States
1.0,0.3333333333333333,0.5,native-country,Ireland
1.0,0.18181818181818182,0.3076923076923077,native-country,Mexico
0.6388888888888888,0.5609756097560976,0.5974025974025975,native-country,?
0.3333333333333333,1.0,0.5,native-country,South
1.0,1.0,1.0,native-country,Guatemala
